"question","optionA","optionB","optionC","optionD","correctAnswer"
"程式設計在哪間教室？","L105","L110","E102","E110","L110"
"程式設計使用的軟題為？","vscode","camtasia","audacity","blender","vscode"
"程式內容可以上傳到哪個網站？","Github","HackMD","Youtube","Chatgpt","Github"
"每次程式設計課有幾次點名？","2","6","3","1","6"
"筆記撰寫在哪個網站？","Gemini","Github","openpressing","HackMD","HackMD"
"程式需要註解該使用哪個符號？","/","//","''","#","//"
"上課使用哪個程式語言？","Python","JavaScript","Java","C++","JavaScript"
"以下何者不是構建網站的三大要素？","JavaScript","Html","css","csv","csv"
"以下哪個不是上課必要下載模組？","Live server","p5.vscode","Github copilot","Chinese Language Pack","Chinese Language Pack"
"以下哪個是表示顏色的代碼？","windowwidth","CENTER","255,0,0","150","255,0,0"